Title,URL,Year,Investigation Type,Geographic Keywords,Culture,Language
"            The Promise and Challenge of Archaeological Data Integration             (2006)
",https://core.tdar.org//document/448020/the-promise-and-challenge-of-archaeological-data-integration,2006,"Methodology, Theory, or Synthesis",,,"
            English
            "
"            Tracce e memorie di tecniche e tradizioni accensive in Trentino             (2006)
",https://core.tdar.org//document/452642/tracce-e-memorie-di-tecniche-e-tradizioni-accensive-in-trentino,2006,,ITALY,,"
            Italian
            "
"            Un altro fuoco. Abitare nel tempo: un percorso didattico a cura del Museo Civico di Rovereto             (2006)
",https://core.tdar.org//document/452647/un-altro-fuoco-abitare-nel-tempo-un-percorso-didattico-a-cura-del-museo-civico-di-rovereto,2006,,ITALY,,"
            Italian
            "
"            Un laboratorio di archeologia sperimentale con ragazzi con disabilità cognitive – comportamentale. L’esperienza di scavo             (2007)
",https://core.tdar.org//document/452631/un-laboratorio-di-archeologia-sperimentale-con-ragazzi-con-disabilita-cognitive-comportamentale-lesperienza-di-scavo,2007,,ITALY,,"
            Italian
            "
"            Fort Dix Buildings, Fort Dix Army Base, Manchester Township, Ocean County, New Jersey             (2008)
",https://core.tdar.org//document/447967/fort-dix-buildings-fort-dix-army-base-manchester-township-ocean-county-new-jersey,2008,"Architectural Documentation, Historic Background Research, Reconnaissance / Survey","Fort Dix, New Jersey (State / Territory), Ocean (County)",Historic,"
            English
            "
"            Principles for Reconstruction of Costumes and Archaeological Textiles             (2009)
",https://core.tdar.org//document/454921/principles-for-reconstruction-of-costumes-and-archaeological-textiles,2009,,,,"
            English
            "
"            STEINGERÄTE ZUR METALLBEARBEITUNG – EINIGE NEUE ASPEKTE ZUM SPÄTNEOLITHISCHEN UND FRÜHBRONZEZEITLICHEN METALLHANDWERK VOR DEM HINTERGRUND DES SCHLESWIG-HOLSTEINISCHEN FUNDMATERIALS             (2009)
",https://core.tdar.org//document/448063/steingerate-zur-metallbearbeitung-einige-neue-aspekte-zum-spatneolithischen-und-fruhbronzezeitlichen-metallhandwerk-vor-dem-hintergrund-des-schleswig-holsteinischen-fundmaterials,2009,,,,"
            German
            "
"            Un approccio sperimentale alle diddatica dell'antico nella nuova sezione di archeologia fluviale del Museo di Crema             (2009)
",https://core.tdar.org//document/452630/un-approccio-sperimentale-alle-diddatica-dellantico-nella-nuova-sezione-di-archeologia-fluviale-del-museo-di-crema,2009,,ITALY,,"
            Italian
            "
"            Animal Husbandry at Pimería Alta Missions: El Ganado en el Sudoeste de Norteamérica ​             (2010)
",https://core.tdar.org//document/448540/animal-husbandry-at-pimeria-alta-missions-el-ganado-en-el-sudoeste-de-norteamerica,2010,Collections Research,"American Southwest, Arizona, Mexico, Pimería Alta, Sonora","Euroamerican, Historic, Historic Native American, O'odham, Spanish","
            English
            "
"            Results of Research Conducted on the Thomas Nelson Farm Site (19-MD-347/HA.6) in Hanscom Air Force Base, Middlesex County, Massachusetts             (2010)
",https://core.tdar.org//document/447961/results-of-research-conducted-on-the-thomas-nelson-farm-site-19-md-347ha6-in-hanscom-air-force-base-middlesex-county-massachusetts,2010,"Archaeological Overview, Consultation, Heritage Management, Site Evaluation / Testing","Hanscom Air Force Base, Middlesex (County)",Historic,"
            English
            "
"            Das Nepal-Experiment. Experimentelle Archäometallurgie mit ethnoarchäologischem Ansatz             (2011)
",https://core.tdar.org//document/454918/das-nepal-experiment-experimentelle-archaometallurgie-mit-ethnoarchaologischem-ansatz,2011,,AUSTRIA,,"
            German
            "
"            DESIGNING THE DIGITAL ARCHAEOLOGICAL RECORD: COLLECTING, PRESERVING, AND SHARING ARCHAEOLOGICAL INFORMATION             (2012)
",https://core.tdar.org//document/454756/designing-the-digital-archaeological-record-collecting-preserving-and-sharing-archaeological-information,2012,,,,"
            English
            "
"            Gnawing: Arizona State Museum Faunal Coding Key             (2012)
",https://core.tdar.org//coding-sheet/455000/gnawing-arizona-state-museum-faunal-coding-key,2012,,,,"
            English
            "
"            Ingesting Digital Data Sets and Project Reports from Soil System, Inc.’s Data Recovery at Pueblo Grande, Phoenix, AZ – FINAL REPORT             (2012)
",https://core.tdar.org//document/448159/ingesting-digital-data-sets-and-project-reports-from-soil-system-incs-data-recovery-at-pueblo-grande-phoenix-az-final-report,2012,"Collections Research, Data Recovery / Excavation, Heritage Management",,Hohokam,"
            English
            "
"            Archaeological Investigations in Support of the Military Munitions Response Program, New Boston Air Force Station, 2008-2011, Hillsborough County, New Hampshire             (2013)
",https://core.tdar.org//document/447965/archaeological-investigations-in-support-of-the-military-munitions-response-program-new-boston-air-force-station-2008-2011-hillsborough-county-new-hampshire,2013,"Archaeological Overview, Heritage Management, Systematic Survey","Hillsborough, New Boston Air Force Station, New Hampshire (State / Territory)","Historic, Precontact, Prehistoric","
            English
            "
"            Scanned Asset Key, Cultural Resources Survey of Proposed Pennsylvania Route 166 Bridge 1993             (2013)
",https://core.tdar.org//document/447982/scanned-asset-key-cultural-resources-survey-of-proposed-pennsylvania-route-166-bridge-1993,2013,Heritage Management,"Fayette (County), Grays Landing Lock and Dam, Masontown, PA, Monongahela River, New Geneva, Pennsylania, Pennsylvania (State / Territory)",,"
            English
            "
"            Scanned Asset Key, New Geneva Pottery Waster and Dock Site (36FA404) 1995             (2013)
",https://core.tdar.org//document/447980/scanned-asset-key-new-geneva-pottery-waster-and-dock-site-36fa404-1995,2013,Heritage Management,"Grays Landing Lock and Dam, Monongahela River, Pennsylvania, New Geneva, Pennsylania, Pennsylvania (State / Territory)",,"
            English
            "
"            Scanned Asset Key, Replacement of Locks and Dams 7 and 8, Monongahela River 1986             (2013)
",https://core.tdar.org//document/447977/scanned-asset-key-replacement-of-locks-and-dams-7-and-8-monongahela-river-1986,2013,"Heritage Management, Reconnaissance / Survey","Fayette (County), Grays Landing Lock and Dams, Green County (County), Monongahela River, Monongalia (County), Pennsylvania (State / Territory), West Virginia (State / Territory)",,"
            English
            "
"            Alabama-Georgia Historic Sites Taxon Coding Sheet             (2014)
",https://core.tdar.org//coding-sheet/454750/alabama-georgia-historic-sites-taxon-coding-sheet,2014,,,,"
            English
            "
"            Context database of artifact counts for spaces in which board games were found in Bronze Age Cyprus             (2014)
",https://core.tdar.org//dataset/448157/context-database-of-artifact-counts-for-spaces-in-which-board-games-were-found-in-bronze-age-cyprus,2014,"Archaeological Overview, Collections Research, Methodology, Theory, or Synthesis",CYPRUS,"Early Cypriot, Late Cypriot, Middle Cypriot","
            English
            "
"            Datos fauna temporada 2014             (2014)
",https://core.tdar.org//dataset/448867/datos-fauna-temporada-2014,2014,"Data Recovery / Excavation, Records Search / Inventory Checking",,,"
            Spanish
            "
"            Experimental and traceological approach for a technical interpretation of ceramic polished surfaces             (2014)
",https://core.tdar.org//document/452634/experimental-and-traceological-approach-for-a-technical-interpretation-of-ceramic-polished-surfaces,2014,,,,"
            English
            "
"            Faunal Remains from the Apalachicola Ecosystems Project             (2014)
",https://core.tdar.org//document/447970/faunal-remains-from-the-apalachicola-ecosystems-project,2014,"Collections Research, Data Recovery / Excavation","Alabama (State / Territory), CHATTAHOOCHEE RIVER DRAINAGE, North America: Southeast United States, North America - Southeast","Historic, Historic Native American, Mississippian, Spanish","
            English
            "
"            Investigating pottery technological pattern through macrowear analysis: The chalcolithic village of Maccarese (Italy)             (2014)
",https://core.tdar.org//document/452710/investigating-pottery-technological-pattern-through-macrowear-analysis-the-chalcolithic-village-of-maccarese-italy,2014,,ITALY,,"
            English
            "
"            Pavao-Zuckerman Fauna Coding Sheet Portion             (2014)
",https://core.tdar.org//coding-sheet/454757/pavao-zuckerman-fauna-coding-sheet-portion,2014,,,,"
            English
            "
"            SCARP Taxon Revised             (2014)
",https://core.tdar.org//coding-sheet/448080/scarp-taxon-revised,2014,,,,"
            English
            "
"            Alpines Kupferschmelzen - technologische Aspekte             (2015)
",https://core.tdar.org//document/454919/alpines-kupferschmelzen-technologische-aspekte,2015,,AUSTRIA,,"
            German
            "
"            Archaeological Report on the Hutto Pond Site (MD18) in Madison County, Florida             (2015)
",https://core.tdar.org//document/454744/archaeological-report-on-the-hutto-pond-site-md18-in-madison-county-florida,2015,"Archaeological Overview, Data Recovery / Excavation, Historic Background Research, Methodology, Theory, or Synthesis, Research Design / Data Recovery Plan","Madison County, Florida, I-10, North Florida culture area, Hutto Pond","Early Archaic, Early Woodland, Late Archaic, Late Woodland, Middle Archaic, Middle Woodland, Mississippian, PaleoIndian, Woodland","
            English
            "
"            Ceramics of Aztec North and the Terrace Community, Aztec Ruins National Monument             (2015)
",https://core.tdar.org//document/454950/ceramics-of-aztec-north-and-the-terrace-community-aztec-ruins-national-monument,2015,Collections Research,"Aztec Ruins National Monument, New Mexico, Chaco Canyon, New Mexico (State / Territory)",Ancestral Puebloan,"
            English
            "
"            Datos fauna temporada 2015             (2015)
",https://core.tdar.org//dataset/448868/datos-fauna-temporada-2015,2015,Data Recovery / Excavation,,,"
            Spanish
            "
"            Eine lup(p)enreine Sache. Neue Experimente zur Eisenverhüttung im Rennofen Typ “Gleinick”             (2015)
",https://core.tdar.org//document/452592/eine-luppenreine-sache-neue-experimente-zur-eisenverhuttung-im-rennofen-typ-gleinick,2015,,Federal Republic of Germany (Country),,"
            German
            "
"            Het Zodenhuis van Firdgum             (2015)
",https://core.tdar.org//document/452591/het-zodenhuis-van-firdgum,2015,,the Netherlands,,"
            Dutch
            "
"            Historic Ponceannah, Lake County, Florida             (2015)
",https://core.tdar.org//document/454745/historic-ponceannah-lake-county-florida,2015,"Historic Background Research, Methodology, Theory, or Synthesis, Records Search / Inventory Checking",,"early white settlement of Lake County (then part of Orange County), Florida, Euroamerican","
            English
            "
"            L'archeologia sperimentale e la ricerca sui tessuti             (2015)
",https://core.tdar.org//document/452603/larcheologia-sperimentale-e-la-ricerca-sui-tessuti,2015,,,,"
            Italian
            "
"            Measuring the quality of personal goods: challenges and opportunities for the archaeology of consumption             (2015)
",https://core.tdar.org//document/455187/measuring-the-quality-of-personal-goods-challenges-and-opportunities-for-the-archaeology-of-consumption,2015,"Collections Research, Historic Background Research, Methodology, Theory, or Synthesis",Sydney NSW Australia,Colonial Australian,"
            English
            "
"            A non-destructive view with X-rays into the strain state of bronze axes             (2015)
",https://core.tdar.org//document/448061/a-non-destructive-view-with-x-rays-into-the-strain-state-of-bronze-axes,2015,"Methodology, Theory, or Synthesis",,,"
            English
            "
"            Pottery use-alteration analysis             (2015)
",https://core.tdar.org//document/452635/pottery-use-alteration-analysis,2015,,,,"
            English
            "
"            The promotion of personal and domestic goods in 19th-century trade catalogues: similarities and differences             (2015)
",https://core.tdar.org//document/455188/the-promotion-of-personal-and-domestic-goods-in-19th-century-trade-catalogues-similarities-and-differences,2015,"Collections Research, Historic Background Research, Methodology, Theory, or Synthesis",Sydney NSW Australia,Colonial Australian,"
            English
            "
"            Analysis of an Unknown Component at 38CH2048, Johns Island, Charleston County, South Carolina             (2016)
",https://core.tdar.org//document/448022/analysis-of-an-unknown-component-at-38ch2048-johns-island-charleston-county-south-carolina,2016,Data Recovery / Excavation,"Lowcountry, Sea Islands",Historic,"
            English
            "
"            A Class I Cultural Resource Inventory of Lands Administered by the Bureau of Land Management, Moab Field Office             (2016)
",https://core.tdar.org//document/454705/a-class-i-cultural-resource-inventory-of-lands-administered-by-the-bureau-of-land-management-moab-field-office,2016,Archaeological Overview,"Moab, Utah","Archaic, Fremont, Historic","
            English
            "
"            Der Hortfund von Kappeln (Kr. Schleswig-Flensburg) oder: Wir sehen nur, was wir erwarten             (2016)
",https://core.tdar.org//document/448062/der-hortfund-von-kappeln-kr-schleswig-flensburg-oder-wir-sehen-nur-was-wir-erwarten,2016,,,,"
            English
            "
"            Eine runde Sache – Rekonstruktion des kuppelförmigen Fensterglases des Archäologieparks Villa Borg / Reconstructing Domed Roman Window Glass             (2016)
",https://core.tdar.org//document/454923/eine-runde-sache-rekonstruktion-des-kuppelformigen-fensterglases-des-archaologieparks-villa-borg-reconstructing-domed-roman-window-glass,2016,,Federal Republic of Germany (Country),,"
            German
            "
"            Imkerei und Archäologie 1: Auf den Spuren unserer Vorfahren             (2016)
",https://core.tdar.org//document/454926/imkerei-und-archaologie-1-auf-den-spuren-unserer-vorfahren,2016,,Federal Republic of Germany (Country),,"
            German
            "
"            Imkerei und Archäologie 2: Schwierige Spurensuche             (2016)
",https://core.tdar.org//document/454927/imkerei-und-archaologie-2-schwierige-spurensuche,2016,,Federal Republic of Germany (Country),,"
            German
            "
"            Imkerei und Archäologie 3: Ohne Wachs kein Schwert             (2016)
",https://core.tdar.org//document/454928/imkerei-und-archaologie-3-ohne-wachs-kein-schwert,2016,,Federal Republic of Germany (Country),,"
            German
            "
"            Imkerei und Archäologie 4: Im Grab gut versorgt             (2016)
",https://core.tdar.org//document/454929/imkerei-und-archaologie-4-im-grab-gut-versorgt,2016,,Federal Republic of Germany (Country),,"
            German
            "
"            Imkerei und Archäologie 5: Alte Beuten im Praxiseinsatz             (2016)
",https://core.tdar.org//document/454931/imkerei-und-archaologie-5-alte-beuten-im-praxiseinsatz,2016,,Federal Republic of Germany (Country),,"
            German
            "
"            Museums, Migration and Cultural Diversity: Recommendations for Museum Work             (2016)
",https://core.tdar.org//document/452590/museums-migration-and-cultural-diversity-recommendations-for-museum-work,2016,,Europe,,"
            English
            "
"            Nazis im Wolfspelz             (2016)
",https://core.tdar.org//document/452588/nazis-im-wolfspelz,2016,,Federal Republic of Germany (Country),,"
            German
            "
"            Approaches to the archaeology of value             (2017)
",https://core.tdar.org//document/455189/approaches-to-the-archaeology-of-value,2017,"Collections Research, Historic Background Research, Methodology, Theory, or Synthesis",Sydney NSW Australia,Colonial Australian,"
            English
            "
"            Archaeobotany and the Terramara Archaeological park of Montale (Emilia-Romagna, Northern Italy): experiences of public education             (2017)
",https://core.tdar.org//document/452636/archaeobotany-and-the-terramara-archaeological-park-of-montale-emilia-romagna-northern-italy-experiences-of-public-education,2017,,ITALY,,"
            English
            "
"            Conditions Assessment and Preservation Plan, Clement Farmstead, Stockbridge Test Facility, Rome Research Site, Oneida, Madison County, New York             (2017)
",https://core.tdar.org//document/447963/conditions-assessment-and-preservation-plan-clement-farmstead-stockbridge-test-facility-rome-research-site-oneida-madison-county-new-york,2017,"Archaeological Overview, Heritage Management, Site Evaluation / Testing","Madison County, New York, Oneida (County), Rome Research Site, Stockbridge Research Facility",Historic,"
            English
            "
"            Intersections of Industrialization Data, England             (2017)
",https://core.tdar.org//dataset/448910/intersections-of-industrialization-data-england,2017,Bioarchaeological Research,England,,"
            English
            "
"            The Origins and Age of the Stone Wall (8M01446) site at Lignumvitae Key             (2017)
",https://core.tdar.org//document/454735/the-origins-and-age-of-the-stone-wall-8m01446-site-at-lignumvitae-key,2017,"Archaeological Overview, Environment Research, Historic Background Research, Records Search / Inventory Checking","Florida Keys, Upper Keys, Upper Matecumbe Key, Lignum Vitae Key, Monroe County","Calusa, Tequesta, Territorial and Statehood, US and possibly Spanish, Historic, Mississippian","
            English
            "
"            Scanned Asset Key, Archaeological Excavations in the Round Bottom Area 1973-1975             (2017)
",https://core.tdar.org//document/447976/scanned-asset-key-archaeological-excavations-in-the-round-bottom-area-1973-1975,2017,Heritage Management,"Hannibal Locks and Dam, Marshall (County), Ohio River, West Virginia (State / Territory)",,"
            English
            "
"            Traceological analysis applied to textile implements: an assessment of the method through the case study of the 1st millennium bce ceramic tools in Central Italy             (2017)
",https://core.tdar.org//document/452633/traceological-analysis-applied-to-textile-implements-an-assessment-of-the-method-through-the-case-study-of-the-1st-millennium-bce-ceramic-tools-in-central-italy,2017,,ITALY,,"
            English
            "
"            Tracing the thread: spinning experiments with Etruscan spindle whorl replicas             (2017)
",https://core.tdar.org//document/452632/tracing-the-thread-spinning-experiments-with-etruscan-spindle-whorl-replicas,2017,,ITALY,,"
            English
            "
"            An Addendum Class III Cultural Resources Survey and Treatment Plan for the Papago Road Extension of the San Xavier Farm Extension Project , San Xavier District Tohono O’odham Nation, Pima County, Arizona             (2018)
",https://core.tdar.org//document/453372/an-addendum-class-iii-cultural-resources-survey-and-treatment-plan-for-the-papago-road-extension-of-the-san-xavier-farm-extension-project-san-xavier-district-tohono-oodham-nation-pima-county-arizona,2018,"Archaeological Overview, Systematic Survey",Pima (County),"Euroamerican, Historic, Historic Native American, Hohokam","
            English
            "
"            Archaeological Beekeeping Project - Experiment and Education             (2018)
",https://core.tdar.org//document/454924/archaeological-beekeeping-project-experiment-and-education,2018,,Federal Republic of Germany (Country),,"
            English
            "
"            Archaeological Data Recovery Investigation of the Shade Tree Tract (38CH2048), Johns Island, Charleston County, South Carolina             (2018)
",https://core.tdar.org//document/448021/archaeological-data-recovery-investigation-of-the-shade-tree-tract-38ch2048-johns-island-charleston-county-south-carolina,2018,Data Recovery / Excavation,"Lowcountry, Sea Islands","African American, Historic","
            English
            "
"            Archaeological Survey and Test Excavations in the Burnsville Reservoir 1971-1975, Archival Photograph, 2076-0080             (2018)
",https://core.tdar.org//image/447946/archaeological-survey-and-test-excavations-in-the-burnsville-reservoir-1971-1975-archival-photograph-2076-0080,2018,"Heritage Management, Reconnaissance / Survey","Braxton (County), Burnsville Reservoir, West Virginia (State / Territory)",,
"            Archäotechnische Versuche und Projekte, Jahresbericht der Arbeitsgruppen             (2018)
",https://core.tdar.org//document/452587/archaotechnische-versuche-und-projekte-jahresbericht-der-arbeitsgruppen,2018,,Federal Republic of Germany (Country),,"
            German
            "
"            Behind distillation. Experimental archaeology 1. Tepe Gawra and the spread of its channel jar to Slovakia, Sardinia and Cyprus             (2018)
",https://core.tdar.org//document/452604/behind-distillation-experimental-archaeology-1-tepe-gawra-and-the-spread-of-its-channel-jar-to-slovakia-sardinia-and-cyprus,2018,,,,"
            English
            "
"            Bethel Cemetery Project: Procedures and protocols for structure from motion photogrammetry on historic burials             (2018)
",https://core.tdar.org//document/455106/bethel-cemetery-project-procedures-and-protocols-for-structure-from-motion-photogrammetry-on-historic-burials,2018,"Bioarchaeological Research, Data Recovery / Excavation, Heritage Management, Methodology, Theory, or Synthesis, Research Design / Data Recovery Plan",,Historic,"
            English
            "
"            Boomplaas Cave Mineral Pigment Artifact Analysis Data             (2018)
",https://core.tdar.org//dataset/455173/boomplaas-cave-mineral-pigment-artifact-analysis-data,2018,Collections Research,South Africa,,"
            English
            "
"            BULK SEDIMENT ANALYSIS AND AMS RADIOCARBON AGE DETERMINATION OF SAMPLES FROM SITE 18JRSSH024, SHISHALDIN VOLCANO AND SITE 18MKJRS001, MAKUSHIN VOLCANO, ALASKA             (2018)
",https://core.tdar.org//document/448041/bulk-sediment-analysis-and-ams-radiocarbon-age-determination-of-samples-from-site-18jrssh024-shishaldin-volcano-and-site-18mkjrs001-makushin-volcano-alaska,2018,Data Recovery / Excavation,"Alaska (State / Territory), Aleutian  Islands, Aleutian Islands (Alaska), Eastern Unalaska Island, Makushin Volcano, Shishaldin Volcano, Unalaska Island",,"
            English
            "
"            Burgwall – Altstadt – Zitadelle: die Genese von Spandau             (2018)
",https://core.tdar.org//document/452586/burgwall-altstadt-zitadelle-die-genese-von-spandau,2018,,Federal Republic of Germany (Country),,"
            German
            "
"            Camping and Hot-Rock Cooking: Hunter-Gatherer Land Use Across the Southwest Pecos Slopes             (2018)
",https://core.tdar.org//document/448054/camping-and-hot-rock-cooking-hunter-gatherer-land-use-across-the-southwest-pecos-slopes,2018,"Archaeological Overview, Data Recovery / Excavation, Methodology, Theory, or Synthesis, Reconnaissance / Survey","Carlsbad, New Mexico, Southwest Pecos Slopes","Archaic, Mogollon","
            English
            "
"            Camping and Hot-Rock Cooking: Hunter-Gatherer Land Use in the Southwest Pecos Slopes             (2018)
",https://core.tdar.org//document/448050/camping-and-hot-rock-cooking-hunter-gatherer-land-use-in-the-southwest-pecos-slopes,2018,"Archaeological Overview, Data Recovery / Excavation, Methodology, Theory, or Synthesis, Reconnaissance / Survey",,,"
            English
            "
"            Camping and Hot-Rock Cooking: Hunter-Gatherer Land Use in the Southwest Pecos Slopes, Data Compendium             (2018)
",https://core.tdar.org//document/448051/camping-and-hot-rock-cooking-hunter-gatherer-land-use-in-the-southwest-pecos-slopes-data-compendium,2018,"Archaeological Overview, Data Recovery / Excavation, Methodology, Theory, or Synthesis, Reconnaissance / Survey","Carlsbad, New Mexico, Southwest Pecos Slopes","Archaic, Mogollon","
            English
            "
"            Ceramic Artifact Photographs, Archaeological Survey and Test Excavations in the Burnsville Reservoir 1971-1975             (2018)
",https://core.tdar.org//image/447954/ceramic-artifact-photographs-archaeological-survey-and-test-excavations-in-the-burnsville-reservoir-1971-1975,2018,"Heritage Management, Reconnaissance / Survey","Braxton (County), Burnsville Reservoir, West Virginia (State / Territory)",,
"            Ceramic clusters resulting from corrugated ceramic technological analysis             (2018)
",https://core.tdar.org//dataset/448225/ceramic-clusters-resulting-from-corrugated-ceramic-technological-analysis,2018,"Archaeological Overview, Architectural Documentation, Architectural Survey, Collections Research, Methodology, Theory, or Synthesis, Reconnaissance / Survey, Records Search / Inventory Checking","Apache (County), Arizona, Carrizo Wash, Catron (County), Cebolleta Mesa, Cibola (County), Cibola Region, El Malpais, El Morro Valley, Mariana Mesa, McKinley County (County), Mogollon Highlands, Mogollon Rim, Navajo (County), New Mexico, Petrified Forest National Park, Rio Puerco of the West, Silver Creek, Upper Little Colorado River, Zuni Indian Reservation","Anasazi, Ancestral Puebloan, Cibola, Mogollon, Western Pueblo, Zuni","
            English
            "
"            Cooking traces on Copper Age pottery from central Italy: An integrated approach comprising use wear analysis, spectroscopic analysis and experimental archaeology             (2018)
",https://core.tdar.org//document/452712/cooking-traces-on-copper-age-pottery-from-central-italy-an-integrated-approach-comprising-use-wear-analysis-spectroscopic-analysis-and-experimental-archaeology,2018,,ITALY,,"
            English
            "
"            Creating the Joint Base San Antonio Archaeology and Cultural Heritage Archive Final Report (2015 – 2018)             (2018)
",https://core.tdar.org//document/448007/creating-the-joint-base-san-antonio-archaeology-and-cultural-heritage-archive-final-report-2015-2018,2018,"Collections Research, Heritage Management","Joint Base San Antonio, Texas",,"
            English
            "
"            Das Museumsdorf als Freilichtlabor für Vermittlung             (2018)
",https://core.tdar.org//document/452580/das-museumsdorf-als-freilichtlabor-fur-vermittlung,2018,,Federal Republic of Germany (Country),,"
            German
            "
"            Demostracion de hacer comal por Dominga             (2018)
",https://core.tdar.org//image/448940/demostracion-de-hacer-comal-por-dominga,2018,Ethnographic Research,"Mixteca Alta, Oaxaca, Rio Blanco, Tonaltepec, Oax., Santo Domingo Tonaltepec, Oaxaca, Tonaltepec, Vista Hermosa, Tonaltepec, Oax.",Contemporary ethnographic,
"            Die Dürre des Jahres 2018 aus der Perspektive mittelalterlicher Subsistenzwirtschaft. Erste Erfahrungen aus dem Experimentalarchäologischen Freilichtlabor Lauresham             (2018)
",https://core.tdar.org//document/452583/die-durre-des-jahres-2018-aus-der-perspektive-mittelalterlicher-subsistenzwirtschaft-erste-erfahrungen-aus-dem-experimentalarchaologischen-freilichtlabor-lauresham,2018,,Federal Republic of Germany (Country),,"
            German
            "
"            Die Funktion archäologischer Freilichtmuseen – eine internationale Perspektive             (2018)
",https://core.tdar.org//document/452578/die-funktion-archaologischer-freilichtmuseen-eine-internationale-perspektive,2018,,Federal Republic of Germany (Country),,"
            German
            "
"            Die Herstellung von kupferzeitlichen Äxten mit Schaftloch – archäometallurgische Experimente             (2018)
",https://core.tdar.org//document/454920/die-herstellung-von-kupferzeitlichen-axten-mit-schaftloch-archaometallurgische-experimente,2018,,"Germany, Switzerland",,"
            German
            "
"            An Examination of Hunter-Gatherer Land Use across the Southwestern Pecos Slopes             (2018)
",https://core.tdar.org//document/448053/an-examination-of-hunter-gatherer-land-use-across-the-southwestern-pecos-slopes,2018,"Archaeological Overview, Data Recovery / Excavation, Methodology, Theory, or Synthesis, Reconnaissance / Survey","Carlsbad, New Mexico, Southwest Pecos Slopes","Archaic, Mogollon","
            English
            "
"            Experimental Archaeology             (2018)
",https://core.tdar.org//document/452593/experimental-archaeology,2018,,,,"
            English
            "
"            Experimentelle Herstellung von Reibsteinen nach Vorbildern archäologischer Originalfunde des präkeramischen Neolithikums Anatoliens             (2018)
",https://core.tdar.org//document/452585/experimentelle-herstellung-von-reibsteinen-nach-vorbildern-archaologischer-originalfunde-des-prakeramischen-neolithikums-anatoliens,2018,,Federal Republic of Germany (Country),,"
            German
            "
"            File Format Cheat Sheet             (2018)
",https://core.tdar.org//document/452608/file-format-cheat-sheet,2018,Heritage Management,"Accra, Ghana, Ghana",,"
            English
            "
"            Final Report Vandenberg Air Force Base Digital Archive Project (2015 – 2018)             (2018)
",https://core.tdar.org//document/448008/final-report-vandenberg-air-force-base-digital-archive-project-2015-2018,2018,"Collections Research, Heritage Management","Vandenberg Air Force Base, California",,"
            English
            "
"            Gehölze im Mittelalter und in der heutigen Museumslandschaft. Über den Aufbau in Theorie und Praxis. Teil 3             (2018)
",https://core.tdar.org//document/452581/geholze-im-mittelalter-und-in-der-heutigen-museumslandschaft-uber-den-aufbau-in-theorie-und-praxis-teil-3,2018,,Federal Republic of Germany (Country),,"
            German
            "
"            Geschichte der Imkerei in Mitteleuropa – von den Anfängen bis zum Mittelalter             (2018)
",https://core.tdar.org//document/452582/geschichte-der-imkerei-in-mitteleuropa-von-den-anfangen-bis-zum-mittelalter,2018,,Federal Republic of Germany (Country),,"
            German
            "
"            Glass Artifact Photographs, Archaeological Survey and Test Excavations in the Burnsville Reservoir 1971-1975             (2018)
",https://core.tdar.org//image/447955/glass-artifact-photographs-archaeological-survey-and-test-excavations-in-the-burnsville-reservoir-1971-1975,2018,"Heritage Management, Reconnaissance / Survey","Braxton (County), Burnsville Reservoir, West Virginia (State / Territory)",,
"            The Goodman Point Archaeological Project: Community Testing             (2018)
",https://core.tdar.org//document/447957/the-goodman-point-archaeological-project-community-testing,2018,"Remote Sensing, Site Evaluation / Testing",Southwest United States,Ancestral Pueblo,"
            English
            "
"            Heisses Eisen aus dem Rennofen – Fortsetzung der Versuchsreihe zur Eisenverhüttung im Museumsdorf Düppel             (2018)
",https://core.tdar.org//document/452584/heisses-eisen-aus-dem-rennofen-fortsetzung-der-versuchsreihe-zur-eisenverhuttung-im-museumsdorf-duppel,2018,,Federal Republic of Germany (Country),,"
            German
            "
"            The Hooper Ranch Pueblo Sun Dagger Shrine Revisited - Revealing Greater Regional Significance             (2018)
",https://core.tdar.org//document/448683/the-hooper-ranch-pueblo-sun-dagger-shrine-revisited-revealing-greater-regional-significance,2018,Historic Background Research,,Ancestral Puebloan,"
            English
            "
"            Imkern wie in der Steinzeit             (2018)
",https://core.tdar.org//document/454925/imkern-wie-in-der-steinzeit,2018,,Federal Republic of Germany (Country),,"
            German
            "
"            Knysna Eastern Heads 1 Mineral Pigment Artifact Analysis Data             (2018)
",https://core.tdar.org//dataset/455174/knysna-eastern-heads-1-mineral-pigment-artifact-analysis-data,2018,Collections Research,South Africa,,"
            English
            "
"            Lithic Artifact Photographs, Archaeological Investigation of Site 46SU633 1997             (2018)
",https://core.tdar.org//image/447958/lithic-artifact-photographs-archaeological-investigation-of-site-46su633-1997,2018,Heritage Management,"Monroe (County), Summers County (County), West Virginia (State / Territory)","Archaic, Late Archaic, Middle Archaic",
"            Lithic Artifact Photographs, Archaeological Survey and Test Excavations in the Burnsville Reservoir 1971-1975             (2018)
",https://core.tdar.org//image/447953/lithic-artifact-photographs-archaeological-survey-and-test-excavations-in-the-burnsville-reservoir-1971-1975,2018,"Heritage Management, Reconnaissance / Survey","Braxton (County), Burnsville Reservoir, West Virginia (State / Territory)",,
"            Making Digital Copies of Photographic Prints             (2018)
",https://core.tdar.org//document/452614/making-digital-copies-of-photographic-prints,2018,Heritage Management,"Accra, Ghana, Ghana",,"
            English
            "
